iter=5980,loss=0.050036,psnr=26.014327
iter=5990,loss=0.050078,psnr=26.007013
iter=6000,loss=0.050282,psnr=25.971675
iter=6010,loss=0.050511,psnr=25.932220
iter=6020,loss=0.050712,psnr=25.897861
iter=6030,loss=0.050845,psnr=25.875110
iter=6040,loss=0.050751,psnr=25.891128
iter=6050,loss=0.050736,psnr=25.893726
iter=6060,loss=0.050832,psnr=25.877251
iter=6070,loss=0.051060,psnr=25.838395
iter=6080,loss=0.051278,psnr=25.801416
iter=6090,loss=0.051518,psnr=25.760877
iter=6100,loss=0.051765,psnr=25.719192
iter=6110,loss=0.051985,psnr=25.682377
iter=6120,loss=0.052148,psnr=25.655210
